agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Canadian Museum of Nature,2,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,2,2016-2017,1.25,14150
Canadian Northern Economic Development Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.12,15930
Canadian Nuclear Safety Commission,287,10,214,297,283,14,14,5,18,237,13,0,11,0,36,54,20,89,2016-2017,3.9,402893
Canadian Race Relations Foundation,2,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2016-2017,0.04,2600
Canadian Radio-television and Telecommunications Commission,36,21,24,57,51,6,2,4,5,9,12,4,7,0,2,0,7,42,2016-2017,2.93,198026
Canadian Security Intelligence Service,491,52,298,543,457,86,221,42,21,1,174,32,45,111,76,314,230,11,2016-2017,7,1148072
Canadian Space Agency,53,4,25,57,55,2,13,2,12,2,19,5,1,0,0,1,1,21,2016-2017,1.3,111642
Canadian Transportation Agency,29,0,19,29,25,4,2,2,16,2,6,1,1,0,0,0,0,27,2016-2017,0.7,55368
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,11,7,3,18,14,4,1,1,2,1,4,2,0,0,1,0,9,0,2016-2017,0.49,39271
Communication Security Establishment Canada,144,42,80,186,138,48,81,6,0,1,55,1,11,3,21,136,43,20,2016-2017,5.75,464958
Copyright Board Canada,70,0,26,70,29,41,0,0,0,10,60,0,0,0,0,0,0,1,2016-2017,0.3,105000
Correctional Service of Canada,582,252,228,834,508,326,128,15,44,14,377,4,127,2,17,3,185,37,2016-2017,7,564163
Defence Construction Canada,38,10,18,48,35,13,7,1,25,2,3,0,7,0,0,3,3,19,2016-2017,3,136757
Department of Finance Canada,839,180,335,1019,780,239,284,15,149,54,112,225,14,0,78,102,260,215,2016-2017,15,1050039
Department of Justice Canada,676,106,455,782,652,130,127,38,111,26,213,161,51,0,22,57,16,26,2016-2017,18.19,1676811
Destination Canada,9,0,9,9,9,0,0,2,0,2,3,2,6,0,2,0,0,2,2016-2017,0.1,16000
Canada Economic Development for Québec Regions,41,4,35,45,45,0,8,3,6,9,15,0,1,0,0,0,0,16,2016-2017,1.31,100742
Elections Canada,92,13,43,105,84,21,8,6,12,6,21,39,2,0,1,0,11,14,2016-2017,2.42,180794
Employment and Social Development Canada,2268,379,1200,2647,2276,371,670,22,438,113,580,445,226,4,17,64,255,229,2016-2017,21.06,1753395
Environment and Climate Change Canada,1720,281,1047,2001,1529,472,155,17,1184,72,168,124,100,4,29,29,58,150,2016-2017,16.35,1221294
Exinvest Inc,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2016-2017,0.01,1459
Export Development Canada,19,0,17,19,18,1,2,1,3,3,10,0,2,0,0,0,0,1,2016-2017,1.58,169668
Farm Credit Canada,9,1,1,10,9,1,0,2,1,4,2,0,0,0,0,0,0,0,2016-2017,0.5,25000
Farm Products Council of Canada,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,0.05,3437
Federal Bridge Corporation Limited,8,1,8,9,9,0,1,0,0,3,4,0,0,0,0,0,0,1,2016-2017,2,0
Federal Economic Development Agency for Southern Ontario,53,13,29,66,61,5,5,3,18,6,18,3,7,0,0,0,0,33,2016-2017,4.61,172759
Federal Public Service Health Care Plan Administration Authority,5,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2016-2017,1,601
Financial Consumer Agency of Canada,6,1,6,7,7,0,1,0,1,0,4,0,0,0,0,0,0,1,2016-2017,0.68,49500
Financial Transactions and Reports Analysis Centre of Canada,95,20,59,115,96,19,50,4,30,4,7,0,6,7,9,17,76,51,2016-2017,2,177500
First Nations Financial Management Board,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,10000
First Nations Tax Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.22,29117
Fisheries and Oceans Canada,504,76,271,580,477,103,58,14,148,50,164,70,27,2,17,24,93,191,2016-2017,23.66,2113201
Freshwater Fish Marketing Corporation,3,6,0,9,4,5,1,0,1,1,0,0,0,0,0,0,0,1,2016-2017,1,140067
Global Affairs Canada,1233,332,358,1565,1268,297,624,97,141,82,289,0,101,2,273,721,107,406,2016-2017,48.84,3928303
Great Lakes Pilotage Authority,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.28,20300
Gwich'in Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Gwich'in Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Halifax Port Authority,7,0,7,7,7,0,0,0,1,6,0,0,0,0,0,0,0,1,2016-2017,3,6400
Hamilton Port Authority,3,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,2,2016-2017,0.03,4125
Health Canada,1959,1047,596,3006,1388,1618,288,47,1029,112,299,184,285,36,32,29,65,284,2016-2017,53.29,5078121
Historic Sites and Monuments Board of Canada,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2016-2017,0.3,21499
Immigration and Refugee Board,230,9,178,239,195,44,15,15,167,6,27,0,8,0,0,0,14,6,2016-2017,2.15,178000
Immigration Refugees and Citizenship Canada,50728,5242,34772,55970,48733,7237,304,1595,28330,2380,16223,1896,3070,1,2195,9573,20253,99,2016-2017,48.35,3367366
Indigenous and Northern Affairs Canada,732,138,359,870,708,162,212,58,136,64,240,22,37,8,25,3,47,247,2016-2017,13.2,524056
Innovation Science and Economic Development Canada,1476,118,998,1594,1371,223,364,95,395,145,133,344,67,0,18,46,30,233,2016-2017,13.23,1089570
International Development Research Centre,8,0,8,8,8,0,0,1,1,6,0,0,0,0,0,1,0,2,2016-2017,0.5,10000
Jacques Cartier and Champlain Bridges Incorporated,6,0,3,6,6,0,3,0,1,0,2,0,0,0,0,0,1,10,2016-2017,0.2,17247
Laurentian Pilotage Authority Canada,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,0.08,9810
Library and Archives of Canada,1125,102,707,1227,986,241,55,559,38,19,85,369,75,1,79,51,6,27,2016-2017,22,1521861
Mackenzie Valley Environmental Impact Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,538
Mackenzie Valley Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Marine Atlantic Inc,12,0,4,12,11,1,0,1,8,2,1,0,0,0,0,0,0,2,2016-2017,0.9,146750
Military Grievances External Review Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,3231
Military Police Complaints Commission,16,8,17,24,24,0,0,0,12,0,4,0,3,0,0,0,13,0,2016-2017,0.8,40233
Montreal Port Authority,12,0,3,12,10,2,7,0,3,0,2,0,0,0,0,0,4,3,2016-2017,0.2,38000
Nanaimo Port Authority,3,3,0,6,5,1,0,1,1,0,1,0,0,0,0,0,0,2,2016-2017,1,32750
National Arts Centre,2,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2016-2017,0.1,14375
National Capital Commission,96,21,48,117,102,15,36,2,1,9,43,5,4,0,1,2,32,28,2016-2017,2.62,306482
National Defence,2838,673,1062,3511,2232,1279,1177,73,144,128,1132,184,666,2,104,489,256,333,2016-2017,38.38,3224466
National Energy Board,198,9,104,207,160,47,147,0,12,7,32,0,11,0,4,0,12,17,2016-2017,2.8,315404
National Film Board of Canada,19,2,16,21,20,1,0,6,0,2,5,6,1,0,0,0,0,8,2016-2017,0.6,32740
National Gallery of Canada,7,1,1,8,5,3,0,0,3,1,2,1,1,0,0,0,2,4,2016-2017,0.18,37577
National Research Council of Canada,45,4,26,49,41,8,10,2,16,1,14,2,8,0,0,0,1,17,2016-2017,1.45,229538
Natural Resources Canada,647,102,272,749,633,116,212,17,122,54,183,59,44,0,32,102,91,215,2016-2017,14.26,1464758
Natural Sciences and Engineering Research Council of Canada,36,2,7,38,20,18,0,6,18,1,11,0,2,0,0,0,2,25,2016-2017,1.52,155425
Northern Pipeline Agency Canada,5,0,4,5,5,0,3,0,1,1,0,0,0,0,0,0,0,1,2016-2017,0.08,1000
Nunavut Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.01,1012
Office of Infrastructure of Canada,178,68,89,246,211,35,123,0,27,5,10,13,11,0,20,5,14,52,2016-2017,5.97,471098
Office of the Administrator of the Ship-source Oil Pollution Fund,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,2.25,32440
Office of the Auditor General of Canada,7,1,4,8,7,1,1,0,2,0,4,0,2,0,0,0,0,0,2016-2017,1.25,113182
Office of the Commissioner of Lobbying,8,0,6,8,8,0,2,0,0,1,4,1,0,3,0,0,3,2,2016-2017,0.25,6425
Office of the Commissioner of Official Languages,19,2,17,21,20,1,3,0,10,0,6,0,1,0,0,0,3,0,2016-2017,0.35,35500
Office of the Correctional Investigator of Canada,21,1,8,22,22,0,2,0,3,2,14,0,0,0,0,0,17,4,2016-2017,0.5,25965
Office of the Information Commissioner of Canada,85,1,79,86,85,1,15,0,15,2,53,0,1,0,0,0,31,7,2016-2017,0.96,153911
Office of the Ombudsman for the Department of National Defence and the Canadian Forces,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2016-2017,0.06,4418
Office of the Privacy Commissioner of Canada,100,4,65,104,90,14,38,0,17,4,38,3,15,0,0,5,29,14,2016-2017,2,180426
Office of the Public Sector Integrity Commissioner of Canada,8,16,11,24,24,0,1,0,1,0,6,0,13,0,0,0,8,0,2016-2017,0.75,37100
Office of the Superintendent of Financial Institutions Canada,63,6,38,69,61,8,11,2,31,0,19,0,5,0,1,2,7,37,2016-2017,1.25,219259
Old Port of Montreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Oshawa Port Authority,2,0,1,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2016-2017,0.2,31903
Pacific Pilotage Authority Canada,8,0,6,8,8,0,0,0,0,3,5,0,0,0,0,0,0,0,2016-2017,0.19,13000
Parc Downsview Park Inc.,9,0,0,9,3,6,0,0,9,0,0,0,0,0,0,0,0,0,2016-2017,1.2,81000
Parks Canada Agency,288,83,155,371,265,106,97,11,105,23,52,0,12,0,27,10,37,91,2016-2017,11,867745
Parole Board of Canada,35,6,34,41,39,2,7,0,11,9,8,0,2,0,0,0,0,1,2016-2017,0.7,49710
Patented Medicine Prices Review Board,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2016-2017,0,0
Pierre Eliott Trudeau Foundation,18,0,2,18,17,1,7,0,0,0,1,10,0,0,0,0,0,1,2016-2017,0.31,54795
Polar Knowledge Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Port Alberni Port Authority,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2016-2017,0.5,29427
Port Metro Vancouver,10,1,5,11,8,3,2,1,2,3,2,0,0,0,0,0,1,8,2016-2017,1.1,45000
PPP Canada Inc.,5,1,2,6,5,1,0,0,0,0,5,0,0,0,0,1,0,4,2016-2017,0.5,55335
Prince Rupert Port Authority,6,0,4,6,6,0,1,0,3,2,0,0,0,0,0,0,0,3,2016-2017,0.02,2000
Privy Council Office,879,189,321,1068,827,241,387,71,81,56,284,0,57,0,20,198,212,136,2016-2017,21.46,1740664
Public Health Agency of Canada,133,36,88,169,131,38,31,2,44,5,33,18,20,0,20,12,14,21,2016-2017,5,479275
Public Prosecution Service of Canada,45,2,28,47,35,12,3,1,7,3,31,0,3,0,1,0,1,2,2016-2017,2.55,184159
Public Safety Canada,417,41,194,458,368,90,229,38,40,7,62,41,22,0,58,158,130,60,2016-2017,13.22,1035601
Public Sector Pension Investment Board,4,1,2,5,4,1,2,1,0,1,0,0,0,0,0,0,0,6,2016-2017,0.78,55787
Public Service Commission of Canada,126,12,96,138,128,10,14,1,25,6,71,9,23,1,0,0,8,28,2016-2017,1.22,134561
Public Services and Procurement Canada,1295,196,676,1491,1163,328,483,14,340,43,360,55,183,0,11,12,31,520,2016-2017,35.5,2495063
Quebec Port Authority,11,0,11,11,11,0,0,1,2,4,4,0,0,0,0,0,0,12,2016-2017,0,0
RCMH-MRCF Inc. (Royal Canadian Mint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Revera Inc. (Public Sector Pension Investment Board),3,0,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.05,12000
Ridley Terminals Inc.,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2016-2017,0.2,34000
Royal Canadian Mint,23,2,7,25,19,6,7,2,0,1,6,7,3,0,1,0,0,11,2016-2017,1.53,152681
Royal Canadian Mounted Police,4826,224,2249,5050,3858,1192,516,150,586,162,3068,344,660,27,320,27,2211,87,2016-2017,30.59,2384266
Royal Canadian Mounted Police External Review Committee,6,3,7,9,9,0,1,0,0,2,3,0,1,1,0,0,2,0,2016-2017,0.1,10000
Saguenay Port Authority,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-2017,0.01,1000
Sahtu Land and Water Board,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017,0,0
Sahtu Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Saint John Port Authority,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2016-2017,0.13,10790
Seaway International Bridge Corporation,2,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2016-2017,2,0
Security Intelligence Review Committee,10,5,7,15,13,2,4,1,4,0,1,0,0,0,2,4,2,6,2016-2017,0.39,26829
Sept-Îles Port Authority,2,1,3,3,3,0,0,0,0,1,1,0,0,0,0,0,0,3,2016-2017,0.25,0
Shared Services Canada,278,30,192,308,285,23,50,7,87,8,67,59,12,0,0,11,83,133,2016-2017,14.53,1227985
Social Sciences and Humanities Research Council,69,2,37,71,66,5,0,50,12,0,7,0,1,0,0,0,9,31,2016-2017,1.57,115897
St. John's Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Standards Council of Canada,4,0,3,4,4,0,0,1,0,0,3,0,0,0,1,1,0,1,2016-2017,0.1,36000
Statistics Canada,222,3,176,225,212,13,41,12,16,32,121,0,1,0,0,0,32,54,2016-2017,2.79,256712
Status of Women Canada,50,1,12,51,38,13,32,0,0,6,6,6,1,0,0,1,0,6,2016-2017,1.95,148204
Sustainable Development Technology Canada,4,3,1,7,7,0,0,0,1,0,3,0,1,0,0,0,1,10,2016-2017,1,47568
Telefilm Canada,10,4,4,14,5,9,0,0,10,0,0,0,1,0,0,0,0,4,2016-2017,1.75,162751
The National Battlefields Commission,4,1,4,5,5,0,3,0,0,1,0,0,0,0,0,0,0,0,2016-2017,0.15,0
Thunder Bay Port Authority,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2016-2017,0.01,750
Toronto Port Authority,8,1,2,9,6,3,0,0,1,1,6,0,1,0,0,0,0,0,2016-2017,5,44213
Transport Canada,994,268,335,1262,804,458,328,33,190,87,233,123,128,0,132,81,169,245,2016-2017,14.36,1198938
Transportation Safety Board of Canada,119,24,71,143,119,24,14,3,65,9,27,1,22,0,19,3,16,76,2016-2017,6.33,501737
Treasury Board of Canada Secretariat,534,122,238,656,523,133,105,14,53,15,254,93,74,0,3,30,34,76,2016-2017,7.82,583243
Trois-Rivières Port Authority,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2016-2017,0,70
Veterans Affairs Canada,380,49,224,429,375,54,97,8,34,19,177,45,21,1,0,0,34,47,2016-2017,8.43,568035
Veterans Review and Appeal Board,3,0,2,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2016-2017,0.65,47256
VIA Rail Canada,39,1,14,40,25,15,5,4,6,3,20,1,3,0,0,0,3,8,2016-2017,1.35,101095
Western Economic Diversification Canada,17,0,9,17,13,4,6,0,2,3,6,0,1,0,1,0,1,7,2016-2017,0.82,81842
Windsor Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,500
Windsor-Detroit Bridge Authority,18,2,9,20,11,9,2,0,2,0,14,0,5,0,4,2,3,6,2016-2017,1.2,158866
Yukon Environment Socio-Economic Assessment Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,0
Yukon Surface Rights Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Administrative Tribunals Support Service of Canada,23,7,14,30,18,12,4,0,5,1,12,1,2,0,0,0,0,4,2017-2018,1.58,147482
Agriculture and Agri-Food Canada,166,36,108,202,184,18,28,7,69,13,46,3,13,0,5,27,25,80,2017-2018,7.79,768508
Asia Pacific Foundation of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,1,3500
Atlantic Canada Opportunities Agency,20,3,4,23,23,0,3,1,5,0,11,0,1,0,4,0,2,38,2017-2018,2.3,205596
Atlantic Pilotage Authority Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Atomic Energy of Canada Limited,26,2,21,28,28,0,0,0,2,5,19,0,3,0,0,0,7,21,2017-2018,1.5,212116
Bank of Canada,38,16,16,54,34,20,18,3,2,0,11,4,7,0,4,4,9,12,2017-2018,5.66,682180
Belledune Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
British Columbia Treaty Commission,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2017-2018,0,0
Business Development Bank of Canada,9,1,9,10,9,1,4,0,0,0,5,0,0,0,0,0,1,0,2017-2018,1,111489
Canada Border Services Agency,7466,1479,4027,8945,7219,1726,236,195,3187,188,3239,421,824,0,1436,1246,3832,51,2017-2018,19.02,1946801
Canada Council for the Arts,10,1,7,11,10,1,2,4,0,1,2,1,0,0,0,0,0,2,2017-2018,0.32,41857
Canada Deposit Insurance Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.12,8196
Canada Development Investment Corporation,6,1,1,7,6,1,0,0,1,2,2,1,1,0,0,0,0,9,2017-2018,0.5,61742
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Canada Foundation for Innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.04,5760
Canada GEN Investment Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Canada Hibernia Holding Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Canada Lands Company CLC Limited (Canada Lands Company Limited),12,0,3,12,9,3,7,2,2,0,1,0,0,0,0,0,0,4,2017-2018,0.2,22000
Canada Lands Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.01,1500
Canada Mortgage and Housing Corporation,64,11,43,75,65,10,22,0,8,0,32,2,0,0,1,0,1,37,2017-2018,2.22,350153
Canada Post Corporation,58,25,23,83,67,16,21,0,4,4,29,0,5,0,0,0,11,14,2017-2018,2.08,199982
Canada Revenue Agency,2750,1126,1177,3876,2772,1104,106,43,902,73,1479,147,516,45,105,16,853,65,2017-2018,59.5,5115666
Canada School of Public Service,29,1,26,30,30,0,1,0,7,0,20,1,0,0,0,0,0,17,2017-2018,1.31,75698
Canada-Newfoundland and Labrador Offshore Petroleum Board,8,1,1,9,5,4,4,1,3,0,0,0,0,0,0,0,0,5,2017-2018,1,100157
Canada-Nova-Scotia Offshore Petroleum Board,9,0,6,9,9,0,6,0,2,1,0,0,0,0,0,0,0,1,2017-2018,47,3100
Canadian Air Transport Security Authority,30,3,17,33,30,3,21,0,1,0,8,0,0,0,0,9,12,12,2017-2018,1.2,120000
Canadian Broadcasting Corporation,129,29,67,158,123,35,32,4,10,7,58,18,13,0,0,0,35,33,2017-2018,6,673776
Canadian Centre for Occupational Health and Safety,4,0,4,4,4,0,0,0,0,2,2,0,0,0,0,0,0,1,2017-2018,0.11,8146
Canadian Commercial Corporation,9,5,2,14,10,4,2,0,0,1,3,3,0,0,2,6,3,10,2017-2018,1.48,172446
Canadian Dairy Commission,1,2,1,3,3,0,1,0,0,0,0,0,1,0,0,0,2,3,2017-2018,0.5,4600
Canadian Environmental Assessment Agency,28,6,19,34,32,2,2,1,18,7,0,0,4,0,4,0,6,13,2017-2018,3.51,274704
Canadian Food Inspection Agency,387,67,221,454,385,69,46,8,174,31,128,0,32,0,34,23,50,295,2017-2018,13.76,1151926
Canadian Grain Commission,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.1,6565
Canadian Heritage,799,143,370,942,721,221,372,16,160,16,96,139,20,0,19,41,46,148,2017-2018,10.25,880612
Canadian Human Rights Commission,38,5,28,43,39,4,0,2,2,0,34,0,2,0,0,0,0,0,2017-2018,4.13,263749
Canadian Institutes of Health Research,5,3,3,8,8,0,2,1,0,0,2,0,0,0,0,0,0,10,2017-2018,1,82000
Canadian Museum for Human Rights,4,2,2,6,6,0,1,0,0,3,0,0,0,0,0,0,3,5,2017-2018,0.2,15289
Canadian Museum of History and the Canadian War Museum,6,4,3,10,8,2,1,0,2,1,2,0,0,0,0,0,3,7,2017-2018,0.9,49080
Canadian Museum of Immigration at Pier 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.05,6285
Canadian Museum of Nature,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-2018,1.25,13550
Canadian Northern Economic Development Agency,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.01,9000
Canadian Nuclear Safety Commission,289,14,199,303,267,36,7,0,13,245,24,0,12,0,9,15,8,34,2017-2018,3.71,306599
Canadian Race Relations Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.02,2000
Canadian Radio-television and Telecommunications Commission,36,6,16,42,30,12,3,0,9,8,16,0,3,0,1,0,2,17,2017-2018,3.23,196386
Canadian Security Intelligence Service,851,86,613,937,791,146,127,82,137,6,440,59,58,150,87,512,450,1,2017-2018,7.5,580004
Canadian Space Agency,17,2,16,19,18,1,6,0,4,0,6,1,2,0,1,2,0,1,2017-2018,0.7,60660
Canadian Transportation Agency,44,4,40,48,47,1,8,0,8,18,2,8,4,0,1,2,1,14,2017-2018,1.18,64972
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,17,4,9,21,14,7,2,0,0,0,10,5,3,0,0,0,6,0,2017-2018,0.42,35561
Communication Security Establishment,104,48,45,152,82,70,70,8,10,1,15,0,9,9,4,49,22,16,2017-2018,4.04,370214
Copyright Board Canada,5,1,0,6,4,2,0,1,0,0,4,0,0,0,0,0,0,0,2017-2018,0.3,23000
Correctional Service of Canada,474,327,92,801,377,424,32,2,8,10,422,0,140,4,4,1,92,39,2017-2018,10,624609
Crown-Indigenous Relations and Northern Affairs Canada,516,162,226,678,567,111,140,56,93,40,166,21,57,6,16,0,46,239,2017-2018,10.72,774007
Defence Construction Canada,18,13,11,31,28,3,0,0,15,0,3,0,3,0,0,2,3,33,2017-2018,2.06,158184
Department of Finance Canada,913,239,358,1152,874,278,275,15,297,28,132,166,36,0,77,135,340,305,2017-2018,14.74,1239191
Department of Justice Canada,809,130,472,939,702,237,160,47,115,43,290,154,54,2,25,28,19,20,2017-2018,19.5,1841466
Destination Canada,2,0,1,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2017-2018,0.1,12000
Development Finance Institute Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.01,1634
Economic Development Agency of Canada for the Regions of Quebec,36,0,33,36,35,1,17,1,3,3,12,0,4,0,0,0,0,6,2017-2018,1.35,114120
Elections Canada,40,21,25,61,50,11,9,1,7,0,12,11,3,0,0,2,20,6,2017-2018,2.74,304279
Employment and Social Development Canada,1942,371,1081,2313,1899,414,649,39,357,124,611,162,342,1,13,39,147,152,2017-2018,16.8,1422670
Environment and Climate Change Canada,1999,472,1350,2471,2022,449,219,13,1423,81,227,36,164,1,37,34,102,218,2017-2018,21.5,1623559
Exinvest Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.01,1634
Export Development Canada,11,2,7,13,9,4,3,2,1,2,3,0,1,0,3,2,1,3,2017-2018,5.04,167846
Farm Credit Canada,5,1,6,6,6,0,0,2,0,0,3,0,0,0,0,0,0,0,2017-2018,0.5,25000
Farm Products Council of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.05,1370
Federal Bridge Corporation Limited,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2017-2018,0.01,900
Federal Economic Development Agency for Southern Ontario,19,5,19,24,20,4,2,1,11,2,2,1,1,0,0,0,0,5,2017-2018,1.68,120722
Federal Public Service Health Care Plan Administration Authority,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-2018,0.1,5742
Financial Consumer Agency of Canada,13,0,3,13,6,7,7,0,3,0,3,0,0,0,0,0,1,3,2017-2018,1,105500
Financial Transactions and Reports Analysis Centre of Canada,56,19,40,75,64,11,23,2,21,1,8,1,5,6,5,10,56,33,2017-2018,2,202000
First Nations Financial Management Board,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-2018,4,4500
First Nations Tax Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.22,23683
Fisheries and Oceans Canada,466,103,284,569,481,88,61,8,166,47,130,54,33,3,31,17,132,198,2017-2018,21.02,2765015
Freshwater Fish Marketing Corporation,1,5,1,6,6,0,1,0,0,0,0,0,1,0,0,0,0,2,2017-2018,0.1,14132
Global Affairs Canada,1680,297,680,1977,1569,408,702,122,399,70,274,113,152,5,212,597,137,325,2017-2018,53.72,4621504
Great Lakes Pilotage Authority,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.04,3000
Gwich'in Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Gwich'in Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0,0
Halifax Port Authority,4,0,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,1,2017-2018,0.1,2000
Hamilton Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,0.03,4125
Health Canada,1806,1612,777,3418,1808,1610,243,60,933,129,260,181,358,8,29,14,69,380,2017-2018,68.39,6209350
Historic Sites and Monuments Board of Canada,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2017-2018,0.02,920
Immigration and Refugee Board,238,44,211,282,263,19,28,20,155,10,25,0,7,0,3,3,31,4,2017-2018,2.5,209250
Immigration Refugees and Citizenship Canada,64234,7293,34011,71527,59021,12506,287,1913,36965,3017,19459,2593,2594,1,2858,12046,16906,103,2017-2018,56.09,4225452
