agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Canadian Space Agency,12,4,4,16,12,4,6,1,2,1,2,0,2,0,2,2,1,12,2015-2016,1.07,112291
Canadian Transportation Agency,15,6,9,21,21,0,1,0,10,1,2,1,0,0,0,0,0,23,2015-2016,1.1,88247
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,12,2,2,14,7,7,5,0,0,1,4,2,1,0,0,0,3,0,2015-2016,0.5,37382
Communication Security Establishment Canada,92,37,48,129,87,42,49,8,0,4,17,14,16,5,20,79,24,4,2015-2016,5.02,440359
Copyright Board Canada,7,0,0,7,2,5,1,0,0,0,6,0,0,0,0,0,0,0,2015-2016,0.25,28588
Correctional Service of Canada,646,219,292,865,617,248,146,14,34,30,421,1,185,1,17,9,201,47,2015-2016,13,936810
Defence Construction Canada,36,6,19,42,32,10,2,4,18,3,9,0,7,0,0,1,3,17,2015-2016,3,178790
Department of Finance Canada,622,118,303,740,560,180,181,17,101,75,100,148,29,0,43,72,182,169,2015-2016,14.75,1118499
Department of Justice Canada,574,82,412,656,550,106,132,40,65,35,187,115,51,1,49,54,29,34,2015-2016,16.77,1500234
Destination Canada,2,0,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2015-2016,0.1,12000
Elections Canada,46,21,29,67,54,13,8,2,8,15,8,5,4,0,0,1,10,5,2015-2016,1.85,179106
Employment and Social Development Canada,1572,246,787,1818,1439,379,257,19,395,105,492,304,190,0,16,41,189,170,2015-2016,15.43,1169336
Environment and Climate Change Canada,1558,258,1156,1816,1535,281,132,10,1076,112,94,134,124,1,26,16,65,165,2015-2016,17.3,915705
Exinvest Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,1459
Export Development Canada,13,2,9,15,15,0,5,0,4,2,2,0,2,0,1,2,5,3,2015-2016,1.58,144420
Farm Credit Canada,10,0,8,10,9,1,1,1,0,0,8,0,0,0,0,0,0,0,2015-2016,0.5,25000
Farm Products Council of Canada,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2015-2016,0,0
Federal Bridge Corporation Limited,4,0,2,4,3,1,2,0,0,1,1,0,0,0,0,0,0,0,2015-2016,2,0
Federal Economic Development Agency for Southern Ontario,31,5,14,36,22,14,5,3,20,0,3,0,1,0,0,1,1,8,2015-2016,3,190941
Federal Public Service Health Care Plan Administration Authority,3,0,3,3,3,0,1,0,2,0,0,0,1,0,0,0,0,0,2015-2016,1,601
Financial Consumer Agency of Canada,5,0,3,5,4,1,1,0,1,0,3,0,0,0,0,0,1,3,2015-2016,0.4,27100
Financial Transactions and Reports Analysis Centre of Canada,100,11,68,111,91,20,44,3,42,3,8,0,4,27,8,15,69,27,2015-2016,2,177000
First Nations Financial Management Board,3,0,1,3,3,0,3,0,0,0,0,0,1,0,0,0,1,0,2015-2016,4,12450
First Nations Tax Commission,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015-2016,0.22,21683
Fisheries and Oceans Canada,424,193,255,617,541,76,53,9,142,47,140,33,61,0,22,57,106,237,2015-2016,33.07,3002400
Freshwater Fish Marketing Corporation,7,0,0,7,1,6,1,1,0,1,4,0,1,0,0,0,0,0,2015-2016,1,137321
Global Affairs Canada,1086,385,413,1471,1139,332,571,119,150,39,207,0,166,5,208,602,100,365,2015-2016,53.86,4401069
Great Lakes Pilotage Authority,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.28,20300
Gwich'in Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,7,489294
Gwich'in Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Halifax Port Authority,4,0,3,4,4,0,2,0,0,0,2,0,0,0,1,0,0,0,2015-2016,0.1,6200
Hamilton Port Authority,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2015-2016,0.03,4125
Health Canada,1222,851,366,2073,1026,1047,170,37,589,53,277,96,215,14,19,8,35,215,2015-2016,36.99,4303539
Historic Sites and Monuments Board of Canada,3,0,2,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,2015-2016,0.1,6387
Immigration and Refugee Board,171,16,158,187,178,9,6,16,105,16,28,0,4,0,0,0,8,14,2015-2016,2.16,126390
Immigration Refugees and Citizenship Canada,41660,3662,28306,45322,40107,5215,268,1539,22906,1884,13337,1726,1692,2,1575,8885,8750,104,2015-2016,42.73,2831095
